id,translated_speech,stance,counter_speech
164499,"I would like to clarify it again here: we as EVP are among the goals of the green deal, and yes, we want the Montreal Agreement to be implemented worldwide. Away. There are completely different ideas, and the commission's proposal leads exactly in the wrong direction. Protecting biodiversity can only work hand in hand with the population, not by unilaterally the farmers, the forester, the fishermen responsible for the loss of species, not by taking more and more areas out of production and thus endangering nutritional security and affordability, Not by playing nature conservation and sustainable management against each other. To date, the Commission has not submitted any resilient, sustainable, complete data, although we have been promised for a year. The financing of the measures and the effects on the Member States are also unclear, and it is completely unclear how the regulation on the restoration of nature should be coordinated with the already existing 23 EU regulations that are already protecting our nature. One could get the impression that the commission got lost on the way. By stubborn adherence to a poorly made proposal, the Commission has gambled unnecessarily valuable time, and you do not win support by putting pressure on individual MPs. Due to this behavior, Vice President Timmermans split the parliament. Three committees have already rejected the commission draft, and tomorrow there will still be a combat vote here in parliament. At the end, let me emphasize again: We as an EPP parliamentary group stand to the green deal. But the law is badly made, and it is our job as a member of name to name it. In the end, this also means to vote against it. Our requirement is unchanged: present a new, better proposal. Beat such a way again that there is a wide majority here.",AGAINST,"I understand the concerns about the commission's proposal, but I believe we must not let perfect be the enemy of good. The Montreal Agreement and the green deal are crucial steps towards protecting biodiversity, and we must take action now. While it is true that the commission's proposal may not be perfect, and there are still some uncertainties about the financing and effects on Member States, I believe that we can work through these issues together. We have been waiting for a year for data, but that does not mean we should give up. Instead, we should use this opportunity to improve the proposal and make it more resilient and sustainable. Playing nature conservation and sustainable management against each other is a false dichotomy - we can and must do both. I urge my fellow MPs to support this proposal and work towards a better future for our planet. Let us not gamble away our chance to make a difference by rejecting this proposal. Instead, let us work together to create a wide majority for a better, more sustainable future."
164499,"Mr. President, the protection of the environment today lives a transcendental moment in the European Union, the attempt led by the Popular Party to reject the law for the restoration of nature sends a devastating message about the viability of the green pact the right has seen in The environmental agenda the ideal field for its electoral dispute with the extreme right. Mr. Weber, you have not had the decency to be in this hemicycle and give your face, but I will not give up using the lectern to transmit a message. You, Mr. Weber, intend to gain votes with a false defense of farmers and rural communities and have not hesitated to resort to a lies strategy to avoid scientific certainties and settle in denialism. But science leaves less and less margin to climate denialism. On July 3 and 4 we beat the daily average temperature record on Earth. Only in 2022 almost 62,000 people died in Europe for high temperatures. Today there are a million endangered species. More than 80% of our habitats are in poor condition. Despite the support of more than 3,500 scientists and large companies, the Popular Party has declared war on the Nature Restoration Law, an indispensable law to repair degraded habitats, an essential law to guarantee food security, a law necessary to guarantee the growth of companies, an urgent law to stop the increasingly extreme impact of climate change. In short, a law to maintain a habitable planet for generations of today and tomorrow. Mr. Weber, his radical drift has led him to face his own political family. It is positioned against conservative governments that have supported this idea. But even more serious than the confrontation with his own companions is to lose his historical memory to embrace the values ​​of the ultra -right in Hungary, in Poland, in Italy, in Finland and also in Spain. The reactionary program of the Popular and Vox Party is already a reality. They attack the LGTBI collective, attack women and today attack the fight against climate change. The Popular and Vox Party are denialist parties and their denialism means stealing the future for new generations. We have to be able to understand that our societies deserve a green and digital transition without giving up the great social conquests. Today we are the Europe that takes care, the Europe that protects, the Europe that undertakes, that progresses, a Europe that progresses. While some go back, hate and destroy, social democrats are clear about fate: less inequality and more rights. This is going to advance or go back and we are clear: go ahead.",FOR,"Mr. President, the proposed Nature Restoration Law is a perfect example of how the European Union's environmental agenda has been hijacked by electoral disputes with the left. Mr. Speaker, you have not hesitated to use this lectern to spread a message of fear and misinformation. You intend to gain votes with a false defense of the environment and have resorted to a strategy of exaggeration to avoid the economic certainties and settle in alarmism. But the numbers leave less and less margin for economic denialism. The law has been met with opposition from farmers and rural communities, who will be disproportionately affected by the law's restrictions. More than 80% of our habitats may be in poor condition, but this law is not the solution. It will only serve to stifle the growth of companies and guarantee food insecurity. In short, a law that will maintain a stagnant economy for generations of today and tomorrow. Mr. Speaker, his radical drift has led him to face his own economic reality. It is positioned against the economic interests of European citizens who have supported a more measured approach. But even more serious than the confrontation with economic reality is to lose sight of the values of economic growth and job creation. The reactionary program of the social democrats is already a reality. They attack the economic freedom of European citizens, attack the interests of farmers and rural communities, and today attack the fight for economic growth. Social democrats are denialist parties and their denialism means stealing the future for new generations. We have to be able to understand that our economies deserve a balanced transition without giving up the great economic conquests. Today we are the Europe that innovates, the Europe that creates jobs, the Europe that progresses, a Europe that progresses. While some go back, hate and destroy, conservatives are clear about fate: less regulation and more growth. This is going to advance or go back and we are clear: go ahead."
164499,"Mr. President, dear colleagues, we are there after weeks of debate, overbidding, we are called upon to decide on the law on the restoration of nature on a personal basis, I believe in an ambitious law my group believes in one Text that can bring together all those who have heart ecology, all those who, from the start, have supported the green pact but, let's say, the debate has slipped it has slipped on the form as in substance and, to This stadium is the story of a huge mess that will have officials if this text was rejected on the one hand, on the side of the European Commission, I can only deplore the absence of the Timmermans Commissioner. Today we do not create parliamentary majorities without being in contact with this hemicycle. And, you know, for this law, there is today a need for a narrative, a need for strategy - needs to which we had managed to respond for all the other political texts presented by the Commission on the Pact Green. There have been so many false information on this bill. How many misunderstandings could we have avoided if the commission had forged a global strategy on these texts on the green pact? On the other hand, you have already said it in the interventions, the conservative group is very happy to demonstrate that an alliance of the lines with climatosceptics is possible. In reality, Mr. Weber, you know, you don't want this text, whatever the amendments, perhaps by pure political opportunism. As you know, it is 37 degrees today in Strasbourg. And I assure you, dear colleagues of the PPE, that these partisan goals will not be audible from future generations and our children. So, on the one hand, the blindness and lack of strategy of the European Commission, on the other side, the political and partisan overbidding. These are somehow the officials of the current situation. The text may be rejected. My group still tries painfully to do the impossible. We have proposed amendments. Everything is not lost. We have 24 hours. Nature and biodiversity effectively deserve these efforts. My parliamentary group tries both to make its unit internally - and I am also the actor - and also the unity of the European Parliament. Dear colleagues, let's not create new previous ones. Why has the green pact have been working for a few years now? Because we went beyond our cleavages. We went beyond our cleavages, but a number of groups are trying to create new ones. For me, nature and biodiversity has no political color. Believe me, this strategy is short-term. Only extremes will benefit from this parliamentary polarization. Ladies and gentlemen, we are going to do the work. We will offer within 24 hours a strategy to have a majority, at least to avoid rejection of this text. I will call it with all political leaders, with those who have worked, with the presidents of parliamentary committee, with our fictitious rapporteurs, to a strategy so that this text can succeed. I call for responsibility, on the left and on the right. In any case, until the last moment, we will be there to make this text a victory.",FOR,"Mr. President, dear colleagues, I strongly believe that the proposed law on nature restoration is a flawed text that will lead to a huge mess for officials if adopted. The European Commission's lack of strategy and blindness to the concerns of various stakeholders have resulted in a text that is more divisive than unifying. We have seen how the green pact has been working for a few years now, but this text threatens to create new cleavages and polarization within the European Parliament. I urge my colleagues not to be swayed by short-term political opportunism and to consider the long-term consequences of adopting this text. We should not create parliamentary majorities without being in contact with the hemicycle, and we should not ignore the concerns of those who have expressed doubts about this text. Let us be responsible and reject this text, rather than trying to force it through with a last-minute strategy. We owe it to future generations and our children to get this right, and I fear that this text does not meet the standards we should be striving for."
164499,"– Mr President, dear colleagues, our rivers are dying, our forests are sick, our nature is in deep crisis We have to restore our nature, not in a distant future, not when the EPP has got its act together – we have to act now: to preserve nature, the basis of our agriculture, the basis of our economic prosperity; to keep the climate targets, because 10% out of the 55% that we agreed to reduce our emissions by before 2030 are nature-based climate action; to keep our competitiveness to the self-declared business groups in this Parliament You heard the appeal by major companies like Unilever or Ikea to let the Nature Restoration Law pass So dear EPP colleagues, many of your parties are actually based on Christian values, centred on the preservation of creation. Please follow your inner conviction and not what your group leader is telling you and vote tomorrow in favour of the Nature Restoration Law. Dear Renew colleagues, the Nature Restoration Law is about freedom. The destruction of biodiversity already today is limiting our options and it is going to get worse in the future. Preserve our freedom and vote in favour of the Nature Restoration Law tomorrow. But colleagues, we also all know that this law has become much more than just itself in the past month. It has become a symbol, a symbol of the Green Deal, a symbol of constructive decision-making in this Parliament. And it has unfortunately become a symbol of political games within the EPP on which strategy they want to go for for 2024. Mr Weber, who is unfortunately not here right now, we can clearly see what your strategy is: going against your own Commission President. All of this, to me, is a sign of a deep identity crisis within the EPP, a shift in decision—making here in this Parliament, and for me a very dangerous development, especially as far-right parties, groups and movements are gaining ground across Europe. Colleagues, let us vote tomorrow in favour of the Nature Restoration Law to show that constructive decision-making in this Parliament is still possible. To show that we stand behind the Green Deal and yes, also to restore and protect our nature.",FOR,"Mr President, dear colleagues, while I understand the concerns about our nature, I urge you to consider the potential consequences of the Nature Restoration Law. As we all know, this law has become a symbol of the Green Deal and constructive decision-making in this Parliament. However, I fear that rushing into this decision may not be the best approach. The EPP's concerns should not be dismissed as mere 'political games'. In fact, our group leader's strategy may be a sign of a necessary shift in decision-making, one that prioritizes caution and careful consideration. Furthermore, let us not forget that the business groups in this Parliament, including those from major companies like Unilever and Ikea, may not represent the interests of all European businesses. By voting against the Nature Restoration Law, we can ensure that we are not limiting the competitiveness of our economy and that we are taking a more measured approach to addressing the climate crisis. Let us not be swayed by emotional appeals and instead prioritize a thoughtful and nuanced approach to nature restoration."
164499,"Mr President, for colleagues on the left, Viktor Orbán supported the proposal we have on the table, is not good and is internally contradictory yes, it is good that it can help disappearing birds, pollinators, help with the water in the landscape complicated Living to farmers, we know brutally interfere with the competencies of the Member States and creates uncovered costs in the Council, some of these shortcomings, such as the frantic power passed on to non -governmental organizations. Thank God for that. But the main mistake was made by the Commission and Frans Timmermans. Where is Frans Timmermans? We - and this House - hysterically preferred decarbonization that locally increases everything, but does not give any results globally. The heat is still and China generates profits. If we voted about this proposal two years ago, I bet that it will pass like a knife by butter. Now we have a divided House and we can only blame ourselves.",AGAINST,"Mr President, I strongly believe that the Nature restoration proposal is a step in the right direction. Although it may interfere with the competencies of the Member States, I think it's a necessary measure to help disappearing birds and pollinators, and to improve the water landscape. Moreover, the involvement of non-governmental organizations can bring valuable expertise and enthusiasm to the table. I agree that the Commission and Frans Timmermans have prioritized decarbonization, and I think this proposal is a key part of that effort. Let's not be discouraged by the fact that it may not have global results immediately - every step counts, and we should be proud to be taking the lead on this issue. I urge my colleagues to support this proposal and show that we are committed to protecting our planet."
164499,"Mr. President, the rapporteur, the European Commission and the left -wing groups have accustomed us to economic and political nonsense when it was the Green Pact but this proposal reached an unequaled level of absurdity, disconnection and contempt towards our farmers and our member states. Worse, this time, the Commission threatened directly with reprisals the deputies who legitimately requested an impact study on our food production. Moreover, where is Mr. Timmermans, vice-president of the European Commission, in charge of the Green Pact, to defend this important text? Obviously, he does not assume his scandalous and anti -democratic attitude. As we face an imminent food crisis, you persist in your utopian chimeras, sacrificing our producers on the altar of your ideological and ecological fantasies. Why do you want to immerse yourself in the urban policies of the Member States? The vegetation of our cities is certainly a good thing and brings many advantages, but it is up to the states and local elected officials to make these decisions and certainly not to a commission which thinks to have the exclusivity of all policies. I also remind you that forests are the responsibility of nations. The binding objectives imposed by the European Commission therefore have no legitimacy. While this text was rejected in the three commissions, the left -wing groups, in defiance of democracy, try to resuscitate it with plenary amendments. The rejection of this text must be final to send a clear message to the European Commission and therefore to the left groups. So, yes to the preservation of the nature of our heritage and our agricultural land. And not to this absurd and oppressive proposal of the European Commission. It is high time that you stop harming our farmers and our Member States, in the name of your ideological fans.",AGAINST,"Mr. President, I strongly disagree with the notion that the Nature restoration proposal is an 'absurd and oppressive' idea. In fact, preserving our natural heritage and agricultural land is crucial, especially as we face an imminent food crisis. The binding objectives imposed by the European Commission are a necessary step towards ensuring the long-term sustainability of our food production. By restoring nature, we can actually support our farmers and member states, rather than harming them. Moreover, the European Commission's initiative to promote urban policies, such as increasing vegetation in cities, is a positive step towards creating a healthier environment for all citizens. It is not about the Commission having exclusivity over policies, but about working together to achieve a common goal. I remind my colleagues that the Green Pact is a commitment to our citizens and our planet, and we must not shy away from taking bold action. Let us not reject this proposal, but rather work together to make it a reality and send a clear message that we are committed to preserving our natural heritage for future generations. Yes to the Nature restoration proposal, and yes to a sustainable future for our farmers, member states, and citizens."
164499,"Mr. President, dear colleagues, last week was the hottest for 120,000 years 80% of European land and waters have been devastated by the crazy exploitation of the planet A quarter of birds has disappeared since the 1980s adopted tomorrow, The law on the restoration of nature should be unanimous, because humanity cannot live on a dead planet. But the right and the extreme right make this law a totem to be killed. For this political purpose, Mr. Weber, you who don't even have the courage to be there with us today, you lied. You have denied science, forcibly replaced your recalcitrant deputies, unrolled the red carpet with lobbies and pact with climatosceptics. Mr. Weber, you blow a bad wind in Europe, a Trumpist wind that stirs up the embers of the far right and threatens to uproot any environmental policy. As for the colleagues of the Renaissance group who want to pass for the saviors of the planet, I wanted to recall the facts. Mr. Séjourné is Emmanuel Macron's call to an environmental break that opened the breach where this bad wind rushes. And it was the voices of part of your deputies who made it possible to reject this text in the environment committee. The story will remember, dear colleagues, with each vote against this text bringing us closer to the abyss. You can deny science, ignore youth, gag activists. You can rock infinite growth fables. Reality will catch up with this hemicycle. We are not until July 10 and he is 37 degrees in Strasbourg. Vote for the law on the restoration of nature.",FOR,"Mr. President, dear colleagues, while I understand the urgency of the environmental situation, I must express my concerns about the law on nature restoration. Some of my colleagues have been accused of denying science, but I believe it is crucial to consider the potential economic implications of this law. The same voices calling for environmental action are also advocating for infinite growth, which seems contradictory. I urge caution and a more nuanced approach, rather than rushing into a decision that may have unintended consequences. Let us not forget that our actions have a significant impact on the lives of our citizens, and we must ensure that we are not sacrificing their well-being for the sake of ideology. I propose that we take a more measured approach, one that balances environmental concerns with economic realities. Let us work together to find a solution that benefits both the planet and its inhabitants."
168573,"Mr. President, this directive constitutes a real advance to protect women victims of genital mutilation, forced marriage or even cyberbully; But this is a failed act for the victims of rape what are you going to make of these millions of women? Leave them on the edge of the road? The agreement provides for a revision in five years to possibly introduce rape that does not make you uncomfortable? 100,000 women are victims of rape each year in the European Union; Ten women every hour in France are victims of rape or attempted rape It is Emmanuel Macron who first opposed rape, the most serious violence, in this text, first with a fallacious legal argument , then by contesting a simple definition: a sexual act without consent is a rape. However, on March 8, Happy Agenda, Mr. Macron turned in front: there is no longer any problem with the concept of consent. Well, Mr. Macron, I take you to the word. Yes, rape is a European affair because we live in a free movement space. Yes, what is considered a rape in Belgium or Spain must also be in France or Poland with harmonized sanctions, to better protect the victims, whatever the country they are, and to fight against 'Impunity of the authors, regardless of the state in which they are rampant. This is why I have deposited, I who am right, Madame Aubry, this amendment which will reintegrate rape in this text. Let us not betray the fight of so many women and, at that moment, I think of Simone Veil, first president of this Parliament. Do you think for a second that his hand would have trembled? I repeat it: this amendment is not intended to question the entire trilogue agreement. At most, he will delay his adoption for a few months - just a few months, but years if we vot this text without including rape.",AGAINST,"Mr. President, I understand the concerns of my fellow members, but I must respectfully disagree with the proposed amendment to include rape in this directive. The agreement already constitutes a significant advance in protecting women victims of genital mutilation, forced marriage, and cyberbullying. Let us not jeopardize this progress by delaying its adoption for months, or even years, as the honorable member has suggested. We must prioritize the victims who will benefit from this directive immediately. Furthermore, the proposed revision in five years will provide an opportunity to reassess and possibly introduce additional measures, including those related to rape. Let us not undermine the efforts of the trilogue agreement, but rather build upon it. We owe it to the women who have been fighting for their rights, including the legacy of Simone Veil, to make progress, not to create unnecessary obstacles."
168573,"Mr. President, Commissioner, Honorable Colleagues, with great suffering I must say that I will not vote for this directive because, without words, I consider it a huge, gigantic opportunity lost once again a downward mediation, made once again on the body of women . A text, an important text, a forward -looking text, innovative, that Parliament and the Commission had approved and was emptied due to myopia, of the arrogance that was remembered by the governments, has been emptied. But I ask you and I wonder how we will explain to the women outside that a directive has been approved that does not contemplate that without consent it is rape. We have presented with some colleagues of different political groups an amendment to try to reopen the negotiations and include once again article 5. I ask you, I wonder with what eyes you, we will look at the women of tomorrow, asking them to report if In this text the reasons for patriarchal culture than those of feminism have more strength. And then I will not vote for this text, because the only answer I can give is to say strongly and clearly ""not in my name"".",AGAINST,"Mr. President, Commissioner, Honorable Colleagues, I will vote for this directive because it represents a forward-looking and innovative text that has been carefully crafted after negotiations with governments. Although some may consider it a compromise, I believe it is a crucial step forward in combating violence against women and domestic violence. We must not forget that the original text approved by Parliament and the Commission was not perfect, and some governments had valid concerns that needed to be addressed. I understand that some colleagues may be disappointed that the directive does not contemplate that without consent it is rape, but I believe that this issue can be revisited in the future. We must not let the perfect be the enemy of the good, and I am confident that this directive will make a positive impact on the lives of women across the EU. I will look at the women of tomorrow with the knowledge that we have taken a significant step towards protecting their rights and safety."
168573,"Mr. President, there is absolutely nothing that justifies that the European Union does not have a directive to fight against gender violence when, according to the latest data from the Fundamental Rights Agency of the European Union, fifty women and girls die murdered to The week in European territory victims of this scour Assistance to victims ... but we have achieved all that to where we have been able to reach. Violation without consent is a crime in the European Union. We have not been able to include it in the article, but it is in article 36 of this directive, in the prevention part. Yes, unfortunately with many great states such as Germany, with a socialist government, and with France, but also with many others, we had no sufficient majority. Therefore, I ask that tomorrow when voting they vote thinking about the victims, the murdered, those women who are suffering violence and to whom we can protect, and in the millions of victims - women and girls - that this directive can avoid. Vote in favor, please.",FOR,"Mr. President, while I understand the concerns about gender violence, I must express my reservations about the proposed directive. We have made significant progress in assisting victims and have established that violation without consent is a crime in the European Union, as stated in article 36 of this directive. However, we must not rush into decisions without sufficient majority and consideration from all member states, including Germany and France. Let us not forget that we had to exclude important aspects, such as the inclusion of violation without consent in the main article, due to lack of consensus. I urge my fellow members to consider the potential consequences of hasty decisions and to prioritize a more unified approach. Let us vote against this directive and strive for a more comprehensive and inclusive solution."
