id,translated_speech,modified_speech
164499,"-I would like to clarify it again here: we as EVP are among the goals of the green deal, and yes, we want the Montreal Agreement to be implemented worldwide. Away. There are completely different ideas, and the commission's proposal leads exactly in the wrong direction. Protecting biodiversity can only work hand in hand with the population, not by unilaterally the farmers, the forester, the fishermen responsible for the loss of species, not by taking more and more areas out of production and thus endangering nutritional security and affordability, Not by playing nature conservation and sustainable management against each other. To date, the Commission has not submitted any resilient, sustainable, complete data, although we have been promised for a year. The financing of the measures and the effects on the Member States are also unclear, and it is completely unclear how the regulation on the restoration of nature should be coordinated with the already existing 23 EU regulations that are already protecting our nature. One could get the impression that the commission got lost on the way. By stubborn adherence to a poorly made proposal, the Commission has gambled unnecessarily valuable time, and you do not win support by putting pressure on individual MPs. Due to this behavior, Vice President Timmermans split the parliament. Three committees have already rejected the commission draft, and tomorrow there will still be a combat vote here in parliament. At the end, let me emphasize again: We as an EPP parliamentary group stand to the green deal. But the law is badly made, and it is our job as a member of name to name it. In the end, this also means to vote against it. Our requirement is unchanged: present a new, better proposal. Beat such a way again that there is a wide majority here.","-I would like to clarify it again here: we as EVP are among the goals of the green deal, and yes, we want the Montreal Agreement to be implemented worldwide. Away. There are completely different ideas, and the commission's proposal leads exactly in the wrong direction. Protecting biodiversity can only work hand in hand with the population, not by unilaterally the farmers, the forester, the fishermen responsible for the loss of species, not by taking more and more areas out of production and thus endangering nutritional security and affordability, Not by playing nature conservation and sustainable management against each other. To date, the Commission has not submitted any resilient, sustainable, complete data, although we have been promised for a year. The financing of the measures and the effects on the Member States are also unclear, and it is completely unclear how the regulation on the restoration of nature should be coordinated with the already existing 23 EU regulations that are already protecting our nature. One could get the impression that the commission got lost on the way. By stubborn adherence to a poorly made proposal, the Commission has gambled unnecessarily valuable time, and you do not win support by putting pressure on individual MPs. Due to this behavior, Vice President Timmermans split the parliament. Three committees have already rejected the commission draft, and tomorrow there will still be a combat vote here in parliament. At the end, let me emphasize again: We as an [GROUP] parliamentary group stand to the green deal. But the law is badly made, and it is our job as a member of name to name it. In the end, this also means to vote against it. Our requirement is unchanged: present a new, better proposal. Beat such a way again that there is a wide majority here."
164499,"- Mr. President, the protection of the environment today lives a transcendental moment in the European Union, the attempt led by the Popular Party to reject the law for the restoration of nature sends a devastating message about the viability of the green pact the right has seen in The environmental agenda the ideal field for its electoral dispute with the extreme right. Mr. Weber, you have not had the decency to be in this hemicycle and give your face, but I will not give up using the lectern to transmit a message. You, Mr. Weber, intend to gain votes with a false defense of farmers and rural communities and have not hesitated to resort to a lies strategy to avoid scientific certainties and settle in denialism. But science leaves less and less margin to climate denialism. On July 3 and 4 we beat the daily average temperature record on Earth. Only in 2022 almost 62,000 people died in Europe for high temperatures. Today there are a million endangered species. More than 80% of our habitats are in poor condition. Despite the support of more than 3,500 scientists and large companies, the Popular Party has declared war on the Nature Restoration Law, an indispensable law to repair degraded habitats, an essential law to guarantee food security, a law necessary to guarantee the growth of companies, an urgent law to stop the increasingly extreme impact of climate change. In short, a law to maintain a habitable planet for generations of today and tomorrow. Mr. Weber, his radical drift has led him to face his own political family. It is positioned against conservative governments that have supported this idea. But even more serious than the confrontation with his own companions is to lose his historical memory to embrace the values ​​of the ultra -right in Hungary, in Poland, in Italy, in Finland and also in Spain. The reactionary program of the Popular and Vox Party is already a reality. They attack the LGTBI collective, attack women and today attack the fight against climate change. The Popular and Vox Party are denialist parties and their denialism means stealing the future for new generations. We have to be able to understand that our societies deserve a green and digital transition without giving up the great social conquests. Today we are the Europe that takes care, the Europe that protects, the Europe that undertakes, that progresses, a Europe that progresses. While some go back, hate and destroy, social democrats are clear about fate: less inequality and more rights. This is going to advance or go back and we are clear: go ahead.","- Mr. President, the protection of the environment today lives a transcendental moment in the European Union, the attempt led by the Popular Party to reject the law for the restoration of nature sends a devastating message about the viability of the green pact the right has seen in The environmental agenda the ideal field for its electoral dispute with the extreme right. Mr. Weber, you have not had the decency to be in this hemicycle and give your face, but I will not give up using the lectern to transmit a message. You, Mr. Weber, intend to gain votes with a false defense of farmers and rural communities and have not hesitated to resort to a lies strategy to avoid scientific certainties and settle in denialism. But science leaves less and less margin to climate denialism. On July 3 and 4 we beat the daily average temperature record on Earth. Only in 2022 almost 62,000 people died in Europe for high temperatures. Today there are a million endangered species. More than 80% of our habitats are in poor condition. Despite the support of more than 3,500 scientists and large companies, the Popular Party has declared war on the Nature Restoration Law, an indispensable law to repair degraded habitats, an essential law to guarantee food security, a law necessary to guarantee the growth of companies, an urgent law to stop the increasingly extreme impact of climate change. In short, a law to maintain a habitable planet for generations of today and tomorrow. Mr. Weber, his radical drift has led him to face his own political family. It is positioned against conservative governments that have supported this idea. But even more serious than the confrontation with his own companions is to lose his historical memory to embrace the values ​​of the ultra -right in Hungary, in Poland, in Italy, in Finland and also in Spain. The reactionary program of the Popular and Vox Party is already a reality. They attack the LGTBI collective, attack women and today attack the fight against climate change. The Popular and Vox Party are denialist parties and their denialism means stealing the future for new generations. We have to be able to understand that our societies deserve a green and digital transition without giving up the great social conquests. Today we are the Europe that takes care, the Europe that protects, the Europe that undertakes, that progresses, a Europe that progresses. While some go back, hate and destroy, social democrats are clear about fate: less inequality and more rights. This is going to advance or go back and we are clear: go ahead."
164499,"- Mr. President, dear colleagues, we are there after weeks of debate, overbidding, we are called upon to decide on the law on the restoration of nature on a personal basis, I believe in an ambitious law my group believes in one Text that can bring together all those who have heart ecology, all those who, from the start, have supported the green pact but, let's say, the debate has slipped it has slipped on the form as in substance and, to This stadium is the story of a huge mess that will have officials if this text was rejected on the one hand, on the side of the European Commission, I can only deplore the absence of the Timmermans Commissioner. Today we do not create parliamentary majorities without being in contact with this hemicycle. And, you know, for this law, there is today a need for a narrative, a need for strategy - needs to which we had managed to respond for all the other political texts presented by the Commission on the Pact Green. There have been so many false information on this bill. How many misunderstandings could we have avoided if the commission had forged a global strategy on these texts on the green pact? On the other hand, you have already said it in the interventions, the conservative group is very happy to demonstrate that an alliance of the lines with climatosceptics is possible. In reality, Mr. Weber, you know, you don't want this text, whatever the amendments, perhaps by pure political opportunism. As you know, it is 37 degrees today in Strasbourg. And I assure you, dear colleagues of the PPE, that these partisan goals will not be audible from future generations and our children. So, on the one hand, the blindness and lack of strategy of the European Commission, on the other side, the political and partisan overbidding. These are somehow the officials of the current situation. The text may be rejected. My group still tries painfully to do the impossible. We have proposed amendments. Everything is not lost. We have 24 hours. Nature and biodiversity effectively deserve these efforts. My parliamentary group tries both to make its unit internally - and I am also the actor - and also the unity of the European Parliament. Dear colleagues, let's not create new previous ones. Why has the green pact have been working for a few years now? Because we went beyond our cleavages. We went beyond our cleavages, but a number of groups are trying to create new ones. For me, nature and biodiversity has no political color. Believe me, this strategy is short-term. Only extremes will benefit from this parliamentary polarization. Ladies and gentlemen, we are going to do the work. We will offer within 24 hours a strategy to have a majority, at least to avoid rejection of this text. I will call it with all political leaders, with those who have worked, with the presidents of parliamentary committee, with our fictitious rapporteurs, to a strategy so that this text can succeed. I call for responsibility, on the left and on the right. In any case, until the last moment, we will be there to make this text a victory.","- Mr. President, dear colleagues, we are there after weeks of debate, overbidding, we are called upon to decide on the law on the restoration of nature on a personal basis, I believe in an ambitious law my group believes in one Text that can bring together all those who have heart ecology, all those who, from the start, have supported the green pact but, let's say, the debate has slipped it has slipped on the form as in substance and, to This stadium is the story of a huge mess that will have officials if this text was rejected on the one hand, on the side of the European Commission, I can only deplore the absence of the Timmermans Commissioner. Today we do not create parliamentary majorities without being in contact with this hemicycle. And, you know, for this law, there is today a need for a narrative, a need for strategy - needs to which we had managed to respond for all the other political texts presented by the Commission on the Pact Green. There have been so many false information on this bill. How many misunderstandings could we have avoided if the commission had forged a global strategy on these texts on the green pact? On the other hand, you have already said it in the interventions, the conservative group is very happy to demonstrate that an alliance of the lines with climatosceptics is possible. In reality, Mr. Weber, you know, you don't want this text, whatever the amendments, perhaps by pure political opportunism. As you know, it is 37 degrees today in Strasbourg. And I assure you, dear colleagues of the PPE, that these partisan goals will not be audible from future generations and our children. So, on the one hand, the blindness and lack of strategy of the European Commission, on the other side, the political and partisan overbidding. These are somehow the officials of the current situation. The text may be rejected. My group still tries painfully to do the impossible. We have proposed amendments. Everything is not lost. We have 24 hours. Nature and biodiversity effectively deserve these efforts. My parliamentary group tries both to make its unit internally - and I am also the actor - and also the unity of the European Parliament. Dear colleagues, let's not create new previous ones. Why has the green pact have been working for a few years now? Because we went beyond our cleavages. We went beyond our cleavages, but a number of groups are trying to create new ones. For me, nature and biodiversity has no political color. Believe me, this strategy is short-term. Only extremes will benefit from this parliamentary polarization. Ladies and gentlemen, we are going to do the work. We will offer within 24 hours a strategy to have a majority, at least to avoid rejection of this text. I will call it with all political leaders, with those who have worked, with the presidents of parliamentary committee, with our fictitious rapporteurs, to a strategy so that this text can succeed. I call for responsibility, on the left and on the right. In any case, until the last moment, we will be there to make this text a victory."
164499,"– Mr President, dear colleagues, our rivers are dying, our forests are sick, our nature is in deep crisis We have to restore our nature, not in a distant future, not when the EPP has got its act together – we have to act now: to preserve nature, the basis of our agriculture, the basis of our economic prosperity; to keep the climate targets, because 10% out of the 55% that we agreed to reduce our emissions by before 2030 are nature-based climate action; to keep our competitiveness to the self-declared business groups in this Parliament You heard the appeal by major companies like Unilever or Ikea to let the Nature Restoration Law pass So dear EPP colleagues, many of your parties are actually based on Christian values, centred on the preservation of creation. Please follow your inner conviction and not what your group leader is telling you and vote tomorrow in favour of the Nature Restoration Law. Dear Renew colleagues, the Nature Restoration Law is about freedom. The destruction of biodiversity already today is limiting our options and it is going to get worse in the future. Preserve our freedom and vote in favour of the Nature Restoration Law tomorrow. But colleagues, we also all know that this law has become much more than just itself in the past month. It has become a symbol, a symbol of the Green Deal, a symbol of constructive decision-making in this Parliament. And it has unfortunately become a symbol of political games within the EPP on which strategy they want to go for for 2024. Mr Weber, who is unfortunately not here right now, we can clearly see what your strategy is: going against your own Commission President. All of this, to me, is a sign of a deep identity crisis within the EPP, a shift in decision—making here in this Parliament, and for me a very dangerous development, especially as far-right parties, groups and movements are gaining ground across Europe. Colleagues, let us vote tomorrow in favour of the Nature Restoration Law to show that constructive decision-making in this Parliament is still possible. To show that we stand behind the Green Deal and yes, also to restore and protect our nature.","– Mr President, dear colleagues, our rivers are dying, our forests are sick, our nature is in deep crisis We have to restore our nature, not in a distant future, not when the [GROUP] has got its act together – we have to act now: to preserve nature, the basis of our agriculture, the basis of our economic prosperity; to keep the climate targets, because 10% out of the 55% that we agreed to reduce our emissions by before 2030 are nature-based climate action; to keep our competitiveness to the self-declared business groups in this Parliament You heard the appeal by major companies like Unilever or Ikea to let the Nature Restoration Law pass So dear [GROUP] colleagues, many of your parties are actually based on Christian values, centred on the preservation of creation. Please follow your inner conviction and not what your group leader is telling you and vote tomorrow in favour of the Nature Restoration Law. Dear Renew colleagues, the Nature Restoration Law is about freedom. The destruction of biodiversity already today is limiting our options and it is going to get worse in the future. Preserve our freedom and vote in favour of the Nature Restoration Law tomorrow. But colleagues, we also all know that this law has become much more than just itself in the past month. It has become a symbol, a symbol of the Green Deal, a symbol of constructive decision-making in this Parliament. And it has unfortunately become a symbol of political games within the [GROUP] on which strategy they want to go for for 2024. Mr Weber, who is unfortunately not here right now, we can clearly see what your strategy is: going against your own Commission President. All of this, to me, is a sign of a deep identity crisis within the [GROUP], a shift in decision—making here in this Parliament, and for me a very dangerous development, especially as far-right parties, groups and movements are gaining ground across Europe. Colleagues, let us vote tomorrow in favour of the Nature Restoration Law to show that constructive decision-making in this Parliament is still possible. To show that we stand behind the Green Deal and yes, also to restore and protect our nature."
164499,"- Mr President, for colleagues on the left, Viktor Orbán supported the proposal we have on the table, is not good and is internally contradictory yes, it is good that it can help disappearing birds, pollinators, help with the water in the landscape complicated Living to farmers, we know brutally interfere with the competencies of the Member States and creates uncovered costs in the Council, some of these shortcomings, such as the frantic power passed on to non -governmental organizations. Thank God for that. But the main mistake was made by the Commission and Frans Timmermans. Where is Frans Timmermans? We - and this House - hysterically preferred decarbonization that locally increases everything, but does not give any results globally. The heat is still and China generates profits. If we voted about this proposal two years ago, I bet that it will pass like a knife by butter. Now we have a divided House and we can only blame ourselves.","- Mr President, for colleagues on the left, Viktor Orbán supported the proposal we have on the table, is not good and is internally contradictory yes, it is good that it can help disappearing birds, pollinators, help with the water in the landscape complicated Living to farmers, we know brutally interfere with the competencies of the Member States and creates uncovered costs in the Council, some of these shortcomings, such as the frantic power passed on to non -governmental organizations. Thank God for that. But the main mistake was made by the Commission and Frans Timmermans. Where is Frans Timmermans? We - and this House - hysterically preferred decarbonization that locally increases everything, but does not give any results globally. The heat is still and China generates profits. If we voted about this proposal two years ago, I bet that it will pass like a knife by butter. Now we have a divided House and we can only blame ourselves."
164499,"- Mr. President, the rapporteur, the European Commission and the left -wing groups have accustomed us to economic and political nonsense when it was the Green Pact but this proposal reached an unequaled level of absurdity, disconnection and contempt towards our farmers and our member states. Worse, this time, the Commission threatened directly with reprisals the deputies who legitimately requested an impact study on our food production. Moreover, where is Mr. Timmermans, vice-president of the European Commission, in charge of the Green Pact, to defend this important text? Obviously, he does not assume his scandalous and anti -democratic attitude. As we face an imminent food crisis, you persist in your utopian chimeras, sacrificing our producers on the altar of your ideological and ecological fantasies. Why do you want to immerse yourself in the urban policies of the Member States? The vegetation of our cities is certainly a good thing and brings many advantages, but it is up to the states and local elected officials to make these decisions and certainly not to a commission which thinks to have the exclusivity of all policies. I also remind you that forests are the responsibility of nations. The binding objectives imposed by the European Commission therefore have no legitimacy. While this text was rejected in the three commissions, the left -wing groups, in defiance of democracy, try to resuscitate it with plenary amendments. The rejection of this text must be final to send a clear message to the European Commission and therefore to the left groups. So, yes to the preservation of the nature of our heritage and our agricultural land. And not to this absurd and oppressive proposal of the European Commission. It is high time that you stop harming our farmers and our Member States, in the name of your ideological fans.","- Mr. President, the rapporteur, the European Commission and the left -wing groups have accustomed us to economic and political nonsense when it was the Green Pact but this proposal reached an unequaled level of absurdity, disconnection and contempt towards our farmers and our member states. Worse, this time, the Commission threatened directly with reprisals the deputies who legitimately requested an impact study on our food production. Moreover, where is Mr. Timmermans, vice-president of the European Commission, in charge of the Green Pact, to defend this important text? Obviously, he does not assume his scandalous and anti -democratic attitude. As we face an imminent food crisis, you persist in your utopian chimeras, sacrificing our producers on the altar of your ideological and ecological fantasies. Why do you want to immerse yourself in the urban policies of the Member States? The vegetation of our cities is certainly a good thing and brings many advantages, but it is up to the states and local elected officials to make these decisions and certainly not to a commission which thinks to have the exclusivity of all policies. I also remind you that forests are the responsibility of nations. The binding objectives imposed by the European Commission therefore have no legitimacy. While this text was rejected in the three commissions, the left -wing groups, in defiance of democracy, try to resuscitate it with plenary amendments. The rejection of this text must be final to send a clear message to the European Commission and therefore to the left groups. So, yes to the preservation of the nature of our heritage and our agricultural land. And not to this absurd and oppressive proposal of the European Commission. It is high time that you stop harming our farmers and our Member States, in the name of your ideological fans."
164499,"- Mr. President, dear colleagues, last week was the hottest for 120,000 years 80% of European land and waters have been devastated by the crazy exploitation of the planet A quarter of birds has disappeared since the 1980s adopted tomorrow, The law on the restoration of nature should be unanimous, because humanity cannot live on a dead planet. But the right and the extreme right make this law a totem to be killed. For this political purpose, Mr. Weber, you who don't even have the courage to be there with us today, you lied. You have denied science, forcibly replaced your recalcitrant deputies, unrolled the red carpet with lobbies and pact with climatosceptics. Mr. Weber, you blow a bad wind in Europe, a Trumpist wind that stirs up the embers of the far right and threatens to uproot any environmental policy. As for the colleagues of the Renaissance group who want to pass for the saviors of the planet, I wanted to recall the facts. Mr. Séjourné is Emmanuel Macron's call to an environmental break that opened the breach where this bad wind rushes. And it was the voices of part of your deputies who made it possible to reject this text in the environment committee. The story will remember, dear colleagues, with each vote against this text bringing us closer to the abyss. You can deny science, ignore youth, gag activists. You can rock infinite growth fables. Reality will catch up with this hemicycle. We are not until July 10 and he is 37 degrees in Strasbourg. Vote for the law on the restoration of nature.","- Mr. President, dear colleagues, last week was the hottest for 120,000 years 80% of European land and waters have been devastated by the crazy exploitation of the planet A quarter of birds has disappeared since the 1980s adopted tomorrow, The law on the restoration of nature should be unanimous, because humanity cannot live on a dead planet. But the right and the extreme right make this law a totem to be killed. For this political purpose, Mr. Weber, you who don't even have the courage to be there with us today, you lied. You have denied science, forcibly replaced your recalcitrant deputies, unrolled the red carpet with lobbies and pact with climatosceptics. Mr. Weber, you blow a bad wind in Europe, a Trumpist wind that stirs up the embers of the far right and threatens to uproot any environmental policy. As for the colleagues of the [PARTY] group who want to pass for the saviors of the planet, I wanted to recall the facts. Mr. Séjourné is Emmanuel Macron's call to an environmental break that opened the breach where this bad wind rushes. And it was the voices of part of your deputies who made it possible to reject this text in the environment committee. The story will remember, dear colleagues, with each vote against this text bringing us closer to the abyss. You can deny science, ignore youth, gag activists. You can rock infinite growth fables. Reality will catch up with this hemicycle. We are not until July 10 and he is 37 degrees in Strasbourg. Vote for the law on the restoration of nature."
168573,"- Mr. President, this directive constitutes a real advance to protect women victims of genital mutilation, forced marriage or even cyberbully; But this is a failed act for the victims of rape what are you going to make of these millions of women? Leave them on the edge of the road? The agreement provides for a revision in five years to possibly introduce rape that does not make you uncomfortable? 100,000 women are victims of rape each year in the European Union; Ten women every hour in France are victims of rape or attempted rape It is Emmanuel Macron who first opposed rape, the most serious violence, in this text, first with a fallacious legal argument , then by contesting a simple definition: a sexual act without consent is a rape. However, on March 8, Happy Agenda, Mr. Macron turned in front: there is no longer any problem with the concept of consent. Well, Mr. Macron, I take you to the word. Yes, rape is a European affair because we live in a free movement space. Yes, what is considered a rape in Belgium or Spain must also be in France or Poland with harmonized sanctions, to better protect the victims, whatever the country they are, and to fight against 'Impunity of the authors, regardless of the state in which they are rampant. This is why I have deposited, I who am right, Madame Aubry, this amendment which will reintegrate rape in this text. Let us not betray the fight of so many women and, at that moment, I think of Simone Veil, first president of this Parliament. Do you think for a second that his hand would have trembled? I repeat it: this amendment is not intended to question the entire trilogue agreement. At most, he will delay his adoption for a few months - just a few months, but years if we vot this text without including rape.","- Mr. President, this directive constitutes a real advance to protect women victims of genital mutilation, forced marriage or even cyberbully; But this is a failed act for the victims of rape what are you going to make of these millions of women? Leave them on the edge of the road? The agreement provides for a revision in five years to possibly introduce rape that does not make you uncomfortable? 100,000 women are victims of rape each year in the European Union; Ten women every hour in France are victims of rape or attempted rape It is Emmanuel Macron who first opposed rape, the most serious violence, in this text, first with a fallacious legal argument , then by contesting a simple definition: a sexual act without consent is a rape. However, on March 8, Happy Agenda, Mr. Macron turned in front: there is no longer any problem with the concept of consent. Well, Mr. Macron, I take you to the word. Yes, rape is a European affair because we live in a free movement space. Yes, what is considered a rape in Belgium or Spain must also be in France or Poland with harmonized sanctions, to better protect the victims, whatever the country they are, and to fight against 'Impunity of the authors, regardless of the state in which they are rampant. This is why I have deposited, I who am right, Madame Aubry, this amendment which will reintegrate rape in this text. Let us not betray the fight of so many women and, at that moment, I think of Simone Veil, first president of this Parliament. Do you think for a second that his hand would have trembled? I repeat it: this amendment is not intended to question the entire trilogue agreement. At most, he will delay his adoption for a few months - just a few months, but years if we vot this text without including rape."
168573,"- Mr. President, Commissioner, Honorable Colleagues, with great suffering I must say that I will not vote for this directive because, without words, I consider it a huge, gigantic opportunity lost once again a downward mediation, made once again on the body of women . A text, an important text, a forward -looking text, innovative, that Parliament and the Commission had approved and was emptied due to myopia, of the arrogance that was remembered by the governments, has been emptied. But I ask you and I wonder how we will explain to the women outside that a directive has been approved that does not contemplate that without consent it is rape. We have presented with some colleagues of different political groups an amendment to try to reopen the negotiations and include once again article 5. I ask you, I wonder with what eyes you, we will look at the women of tomorrow, asking them to report if In this text the reasons for patriarchal culture than those of feminism have more strength. And then I will not vote for this text, because the only answer I can give is to say strongly and clearly ""not in my name"".","- Mr. President, Commissioner, Honorable Colleagues, with great suffering I must say that I will not vote for this directive because, without words, I consider it a huge, gigantic opportunity lost once again a downward mediation, made once again on the body of women . A text, an important text, a forward -looking text, innovative, that Parliament and the Commission had approved and was emptied due to myopia, of the arrogance that was remembered by the governments, has been emptied. But I ask you and I wonder how we will explain to the women outside that a directive has been approved that does not contemplate that without consent it is rape. We have presented with some colleagues of different political groups an amendment to try to reopen the negotiations and include once again article 5. I ask you, I wonder with what eyes you, we will look at the women of tomorrow, asking them to report if In this text the reasons for patriarchal culture than those of feminism have more strength. And then I will not vote for this text, because the only answer I can give is to say strongly and clearly ""not in my name""."
168573,"- Mr. President, there is absolutely nothing that justifies that the European Union does not have a directive to fight against gender violence when, according to the latest data from the Fundamental Rights Agency of the European Union, fifty women and girls die murdered to The week in European territory victims of this scour Assistance to victims ... but we have achieved all that to where we have been able to reach. Violation without consent is a crime in the European Union. We have not been able to include it in the article, but it is in article 36 of this directive, in the prevention part. Yes, unfortunately with many great states such as Germany, with a socialist government, and with France, but also with many others, we had no sufficient majority. Therefore, I ask that tomorrow when voting they vote thinking about the victims, the murdered, those women who are suffering violence and to whom we can protect, and in the millions of victims - women and girls - that this directive can avoid. Vote in favor, please.","- Mr. President, there is absolutely nothing that justifies that the European Union does not have a directive to fight against gender violence when, according to the latest data from the Fundamental Rights Agency of the European Union, fifty women and girls die murdered to The week in European territory victims of this scour Assistance to victims ... but we have achieved all that to where we have been able to reach. Violation without consent is a crime in the European Union. We have not been able to include it in the article, but it is in article 36 of this directive, in the prevention part. Yes, unfortunately with many great states such as Germany, with a socialist government, and with France, but also with many others, we had no sufficient majority. Therefore, I ask that tomorrow when voting they vote thinking about the victims, the murdered, those women who are suffering violence and to whom we can protect, and in the millions of victims - women and girls - that this directive can avoid. Vote in favor, please."
