id,fullName,prompt
197400,Abir Al-Sahlani,"Abir Al-Sahlani, a 47-year-old female, born on May 18, 1976, in Basra, Iraq, to a middle-class family with a father who was a leading opposition politician and a member of the Communist Party. She fled Iraq with her mother at the age of 15 and settled in Sweden, where she began her political career. Al-Sahlani holds a master's degree from Stockholm University and has worked as an information engineer and politician. She is a member of the Centre Party and has been a Member of the European Parliament since July 2019, serving on the Committee on Employment and Social Affairs. Al-Sahlani has been a member of the Swedish Parliament from 2010 to 2014 and has been involved in various intergroups, including the European Parliament Intergroup on Disability, LGBT Rights, and Seas, Rivers, Islands and Coastal Areas. She has three children and is a Swedish citizen. Al-Sahlani has been recognized for her support of Iranian women and the Mahsa Amini protests, and in 2024, she won the ""Best Speech"" award at The Parliament Magazine's annual MEP Awards."
239257,Achille Variati,"Achille Variati is an Italian male politician born on January 19, 1953, in Vicenza, Italy. He is a graduate of the University of Padua. Variati has been affiliated with the following parties: Christian Democracy (till 1994), Italian People's Party (1994-2002), The Daisy (2002-2007), and the Democratic Party (since 2007). He was a member of the municipal council of Vicenza (1980-1995) and served as Mayor of Vicenza in two non-consecutive terms (July 12, 1990 - May 8, 1995, and April 29, 2008 - June 13, 2018). He was also a member of the Regional Council of Veneto (1995-2007) and President of the Democratic Party group (2007). Variati was elected as a Member of the European Parliament on October 13, 2022, representing North-East Italy."
23788,Adam Bielan,"Adam Bielan, a Polish politician, born on 12 September 1974 in Gdańsk, Poland, educated at the Warsaw School of Economics. He is a member of The Republicans party, having previously been affiliated with Solidarity Electoral Action (1997-1998), Conservative People's Party (1999-2001), Right Alliance (2001-2002), Law and Justice (2002-2010), Poland Comes First (2010-2011), Poland Together (2013-2017), and Agreement (2017-2021). He has held various offices, including Member of the European Parliament (2004-2014, 2019-present), Vice-Chair of the European Conservatives and Reformists Group (2009), Member of the Sejm (1997-2004), Deputy Marshal of the Senate (2015-2019), and Member of the Senate (2015-2019). He has represented the constituencies of Lesser Poland and Świętokrzyskie (2004-2009), Masovian (2009-2014, 2019-present), and Chrzanów (2001-2004)."
197517,Adam Jarubas,"Adam Sebastian Jarubas, a Polish politician, was born on 17 December 1974 in Busko-Zdrój, Poland. He served as the Marshal of Świętokrzyskie Voivodeship from 27 November 2006 to 22 November 2018, and was a member of the Polish People's Party. He was the party's vice-president from December 2012 and the official candidate for the office of President of Poland in the 2015 Polish presidential elections, receiving 1.60% of votes in the first round. He is an alumnus of Jan Kochanowski University."
37324,Adina-Ioana Vălean,"Adina-Ioana Vălean is a Romanian politician born on 16 February 1968, in Băicoi, Prahova County, Romania. She is married to Crin Antonescu and has one child. Vălean has a master's degree in European Integration and Security Studies, postgraduate studies in National Security and Defence Management, and a bachelor's degree in Mathematics from the University of Bucharest. She is a member of the National Liberal Party and the European People's Party. Vălean was a Member of the Chamber of Deputies from 2004 to 2007 and a Member of the European Parliament from 2007 to 2019 and again from 2024. She served as the Chair of the European Parliament Committee on Industry, Research and Energy from 2019, as the Sixth Vice President of the European Parliament from 2014 to 2017, and as the European Commissioner for Transport from 2019 to 2024 under the leadership of President Ursula von der Leyen."
197735,Adriana Maldonado López,"Adriana Maldonado López, a Spanish politician, born on January 9, 1990, in Pamplona, Spain. She is a member of the Spanish Socialist Workers' Party. She has been serving as a Member of the European Parliament since July 2, 2019, representing Spain. She served on the Committee on the Internal Market and Consumer Protection, and joined the Special Committee on the COVID-19 pandemic in 2022. She is part of the parliament's delegation for relations with the Pan-African Parliament since 2021. She is also a member of the European Parliament Intergroup on Artificial Intelligence and Digital and the European Parliament Intergroup on Small and Medium-Sized Enterprises. Her term as a Member of the European Parliament ended on August 16, 2023. She was elected to the 15th Congress of Deputies in the 2023 Spanish general election from Navarre, starting her term on August 17, 2023."
204400,Adrián Vázquez Lázara,"Adrián Vázquez Lázara, a Spanish politician, born May 5, 1982, in Madrid, Spain. He has a degree in Law from the Complutense University of Madrid, a diploma in Japanese Language and Culture Studies from the International Studies Institute in Tokyo, an MA in International Relations from the University of Warwick, and a Degree in International Relations from Lindenwood University. Vázquez worked for the OSCE, NATO, the Korea Trade-Investment Promotion Agency, and as an advisor to former minister for foreign affairs Ana Palacio. He was chief of staff of the Citizens delegation to the European Parliament from 2015 to 2020. Vázquez was elected as a Member of the European Parliament in 2019 for Ciudadanos and re-elected in 2024 for the People's Party. He served as Chair of the European Parliament's Committee on Legal Affairs, spokesperson for Ciudadanos at the European Parliament, and Secretary-General of Ciudadanos."
125021,Agnes Jongerius,"Agnes Jongerius, a Dutch Catholic and Labour Party member, born on 4 November 1960 in De Meern, Netherlands, studied social-economic history at Utrecht University, graduating cum laude in 1988. She worked for the Federatie Nederlandse Vakbeweging from 1987 to 2012, serving as chair from 2005 to 2012. Jongerius has been a Member of the European Parliament for the Netherlands since 1 July 2014, focusing on decreasing flexible employment contracts and promoting fixed ones. She is vice-chair of the Committee on Employment and Social Affairs and a member of the Delegation for relations with Southeast Asia and the Association of Southeast Asian Nations. Jongerius is also a member of the European Parliament Intergroup on Trade Unions, the URBAN Intergroup, and the European Parliament Intergroup on LGBT Rights. She has served as a supervisory board member of PostNL and the Atria Institute, which specializes in gender equality and women's history, and was chairwoman of the latter. Jongerius is in a relationship with VPRO journalist Ger Jochems and lives in Utrecht."
197535,Agnès Evren,"Agnès Evren, a French politician of The Republicans (LR), born on 27 December 1970 in Paris, France, of Turkish origin, educated at Pantheon-Sorbonne University. Served as Valérie Pécresse's spokesperson in the 2015 regional elections and vice president of the Regional Council of Île-de-France in charge of education and culture. Elected as a Member of the European Parliament in 2019, serving on the Committee on the Environment, Public Health and Food Safety and the Committee on Petitions, as well as delegations for relations to Afghanistan, Palestine, and the Parliamentary Assembly of the Union for the Mediterranean. Member of the European Parliament Intergroup on Climate Change, Biodiversity and Sustainable Development and the URBAN Intergroup. Served as spokesperson for Pécresse's Soyons libres movement in 2018, then chaired the Paris chapter of LR. Member of the Council of Paris, representing the city's 15th arrondissement since the 2020 elections, endorsed by Rachida Dati. Served as one of the spokespersons of Pécresse's campaign team in the 2022 French presidential election, and as one of the spokespeople of LR. Left the European Parliament in 2023, replaced by Laurence Sailliet."
30490,Aileen McLeod,"Aileen McLeod, born 24 August 1971 in East Kilbride, Scotland. Education: University of Edinburgh (1993, German and European Community studies), University of Central Lancashire (2004, PhD). Politician of the Scottish National Party. Former Member of the European Parliament for Scotland (2 July 2019 - 31 January 2020). Former Member of the Scottish Parliament for South Scotland (5 May 2011 - 23 March 2016). Former Minister for Environment, Climate Change and Land Reform (21 November 2014 - 18 May 2016)."
